endorser_key,endorser,party,method
blanca rubio,Blanca Rubio,D,wikipedia categories
blanche lincoln,Blanche Lincoln,D,descriptor+roster
bo mitchell,Bo Mitchell,D,wikipedia categories
bob archuleta,Bob Archuleta,D,wikipedia categories
bob barr,Bob Barr,R,descriptor+roster
bob beauprez,Bob Beauprez,R,descriptor+roster
bob blumenfield,Bob Blumenfield,D,wikipedia categories
bob brady,Bob Brady,D,descriptor+roster
bob brown montana politician,Bob Brown,R,wikipedia categories
bob casey jr,Bob Casey Jr.,D,descriptor+roster
bob corker,Bob Corker,R,descriptor+roster
bob dold,Bob Dold,R,wikipedia categories
bob dole,Bob Dole,R,descriptor+roster
bob dvorsky,Bob Dvorsky,D,wikipedia categories
bob ehrlich,Bob Ehrlich,R,wikipedia categories
bob gardner,Bob Gardner,R,wikipedia categories
bob gibbs,Bob Gibbs,R,descriptor+roster
bob giuda,Bob Giuda,R,wikipedia categories
bob good,Bob Good,R,descriptor+roster
bob hall politician,Bob Hall,R,wikipedia categories
bob holden,Bob Holden,D,wikipedia categories
bob kerrey,Bob Kerrey,D,descriptor+roster
bob kressig,Bob Kressig,D,wikipedia categories
bob kulp,Bob Kulp,R,wikipedia categories
bob latta,Bob Latta,R,descriptor+roster
bob list,Bob List,R,wikipedia categories
bob mcdonnell,Bob McDonnell,R,wikipedia categories
bob mcewen,Bob McEwen,R,descriptor+roster
bob menendez,Bob Menendez,D,descriptor+roster
bob mensch,Bob Mensch,R,wikipedia categories
bob onder,Bob Onder,R,descriptor+roster
bob rucho,Bob Rucho,R,wikipedia categories
bob schaffer,Bob Schaffer,R,descriptor+roster
bob smith new hampshire politician,Bob Smith,R,descriptor+roster
bob taft,Bob Taft,R,wikipedia categories
bobby kaufmann,Bobby Kaufmann,R,wikipedia categories
bobby rush,Bobby Rush,D,descriptor+roster
bobby schostak,Bobby Schostak,R,wikipedia categories
bobby scott politician,Bobby Scott,D,descriptor+roster
bobby scott u s politician,Bobby Scott,D,descriptor+roster
bobby singleton politician,Bobby Singleton,D,wikipedia categories
bonnie watson coleman,Bonnie Watson Coleman,D,descriptor+roster
brad ashford,Brad Ashford,D,descriptor+roster
brad henry,Brad Henry,D,wikipedia categories
brad hoylman,Brad Hoylman,D,wikipedia categories
brad hoylman sigal,Brad Hoylman-Sigal,D,wikipedia categories
brad knott,Brad Knott,R,descriptor+roster
brad pfaff,Brad Pfaff,D,wikipedia categories
brad schneider,Brad Schneider,D,descriptor+roster
brad sherman,Brad Sherman,D,descriptor+roster
brad wenstrup,Brad Wenstrup,R,descriptor+roster
brady brammer,Brady Brammer,R,wikipedia categories
brandon gill,Brandon Gill,R,descriptor+roster
brandon newton,Brandon Newton,R,wikipedia categories
brandon shaffer,Brandon Shaffer,D,wikipedia categories
brenda carter,Brenda Carter,D,wikipedia categories
brenda gilmore,Brenda Gilmore,D,wikipedia categories
brenda jones politician,Brenda Jones,D,wikipedia categories
brenda lawrence,Brenda Lawrence,D,descriptor+roster
brendan boyle,Brendan Boyle,D,descriptor+roster
brendan crighton,Brendan Crighton,D,wikipedia categories
brent siegrist,Brent Siegrist,R,wikipedia categories
brett guthrie,Brett Guthrie,R,descriptor+roster
brett hulsey,Brett Hulsey,D,wikipedia categories
brian babin,Brian Babin,R,descriptor+roster
brian best iowa politician,Brian Best,R,wikipedia categories
brian boquist,Brian Boquist,R,wikipedia categories
brian feldman politician,Brian J. Feldman,D,wikipedia categories
brian fitzpatrick american politician,Brian Fitzpatrick,R,descriptor+roster
brian frosh,Brian Frosh,D,wikipedia categories
brian hatfield,Brian Hatfield,D,wikipedia categories
brian higgins,Brian Higgins,D,descriptor+roster
brian jack,Brian Jack,R,descriptor+roster
brian manktelow,Brian Manktelow,R,wikipedia categories
brian mast,Brian Mast,R,descriptor+roster
brian p kavanagh,Brian Kavanagh,D,wikipedia categories
brian schatz,Brian Schatz,D,descriptor+roster
brian schoenjahn,Brian Schoenjahn,D,wikipedia categories
brian schweitzer,Brian Schweitzer,D,wikipedia categories
brianna titone,Brianna Titone,D,wikipedia categories
bridger bolinder,Bridger Bolinder,R,wikipedia categories
brittany pettersen,Brittany Pettersen,D,descriptor+roster
brooklyn democratic party,Brooklyn Democratic Party,D,wikipedia categories
bruce ayers,Bruce Ayers,D,wikipedia categories
bruce braley,Bruce Braley,D,wikipedia categories
bruce d benson,Bryce Benson,R,wikipedia categories
bruce hunter politician,Bruce Hunter,D,wikipedia categories
bruce poliquin,Bruce Poliquin,R,wikipedia categories
bruce w bannister,Bruce Bannister,R,wikipedia categories
bruce westerman,Bruce Westerman,R,descriptor+roster
bryan avila,Bryan Avila,R,wikipedia categories
bryan c williams,Bryan C. Williams,R,wikipedia categories
bryan steil,Bryan Steil,R,descriptor+roster
bryce edgmon,Bryce Edgmon,D,wikipedia categories
bryce reeves,Bryce Reeves,R,wikipedia categories
buddy carter,Buddy Carter,R,descriptor+roster
buddy deloach,Buddy DeLoach,R,wikipedia categories
burgess owens,Burgess Owens,R,descriptor+roster
butch miller politician,Butch Miller,R,wikipedia categories
byron donalds,Byron Donalds,R,descriptor+roster
c anthony muse,C. Anthony Muse,D,wikipedia categories
c d davidsmeyer,C. D. Davidsmeyer,R,wikipedia categories
c t wilson,C. T. Wilson,D,wikipedia categories
cal forrest,Cal Forrest,R,wikipedia categories
cale case,Cale Case,R,wikipedia categories
california democratic party,California Democratic Party,D,wikipedia categories
california republican party,California Republican Party,R,wikipedia categories
cam kenney,Cam Kenney,D,wikipedia categories
cameron henry,Cameron Henry,R,wikipedia categories
candice miller,Candice Miller,R,descriptor+roster
candice pierucci,Candice Pierucci,R,wikipedia categories
candy noble,Candy Noble,R,wikipedia categories
carl albrecht politician,Carl Albrecht,R,wikipedia categories
carl anderson south carolina politician,Carl Anderson,D,wikipedia categories
carl ford politician,Carl Ford,R,wikipedia categories
carl zimmermann politician,Carl Zimmermann,D,wikipedia categories
carla nelson,Carla Nelson,R,wikipedia categories
carlie kotyza witthuhn,Carlie Kotyza-Witthuhn,D,wikipedia categories
carlos a gimenez,Carlos Giménez,R,wikipedia categories
carmine gentile,Carmine Gentile,D,wikipedia categories
carol hall politician,Carol Hall,R,wikipedia categories
carol hill evans,Carol Hill-Evans,D,wikipedia categories
carol miller politician,Carol Miller,R,descriptor+roster
carol moseley braun,Carol Moseley Braun,D,descriptor+roster
carol ronen,Carol Ronen,D,wikipedia categories
carol sente,Carol Sente,D,wikipedia categories
carol shea porter,Carol Shea-Porter,D,descriptor+roster
carolyn dykema,Carolyn Dykema,D,wikipedia categories
carolyn eslick,Carolyn Eslick,R,wikipedia categories
carolyn maloney,Carolyn Maloney,D,descriptor+roster
carolyn mccarthy,Carolyn McCarthy,D,descriptor+roster
case brittain,Case Brittain,R,wikipedia categories
casey murdock,Casey Murdock,R,wikipedia categories
catherine cortez masto,Catherine Cortez Masto,D,descriptor+roster
catherine hanaway,Catherine Hanaway,R,wikipedia categories
catherine miranda,Catherine Miranda,D,wikipedia categories
catherine nolan,Cathy Nolan,D,wikipedia categories
catherine sofikitis,Catherine Sofikitis,D,wikipedia categories
catherine stefani,Catherine Stefani,D,wikipedia categories
cathy mcmorris rodgers,Cathy McMorris Rodgers,R,descriptor+roster
cathy tilton,Cathy Tilton,R,wikipedia categories
