endorser_key,endorser,party,method
jennifer granholm,Jennifer Granholm,D,wikipedia categories
jennifer leeper,Jennifer Leeper,D,wikipedia categories
jennifer mcclellan,Jennifer McClellan,D,descriptor+roster
jennifer wexton,Jennifer Wexton,D,descriptor+roster
jenniffer gonzalez colon,Jenniffer González-Colón,R,wikipedia categories
jeremy thiesfeldt,Jeremy Thiesfeldt,R,wikipedia categories
jerry carl,Jerry Carl,R,descriptor+roster
jerry govan jr,Jerry Govan Jr.,D,wikipedia categories
jerry kearns,Jerry Kearns,D,wikipedia categories
jerry l fielding,Jerry L. Fielding,R,wikipedia categories
jerry mcnerney,Jerry McNerney,D,wikipedia categories
jerry moran,Jerry Moran,R,descriptor+roster
jerry nadler,Jerry Nadler,D,descriptor+roster
jerry parisella,Jerry Parisella,D,wikipedia categories
jesse white politician,Jesse White,D,wikipedia categories
jessica king,Jessica King,D,wikipedia categories
jessica vega pederson,Jessica Vega Pederson,D,wikipedia categories
jessie danielson,Jessie Danielson,D,wikipedia categories
jessie rodriguez,Jessie Rodriguez,R,wikipedia categories
jesus chuy garcia,"Jesús ""Chuy"" García",D,descriptor+roster
jil tracy,Jil Tracy,R,wikipedia categories
jill billings,Jill Billings,D,wikipedia categories
jill tokuda,Jill Tokuda,D,descriptor+roster
jim baird politician,Jim Baird,R,descriptor+roster
jim banks,Jim Banks,R,descriptor+roster
jim boyd politician,Jim Boyd,R,wikipedia categories
jim brewster,Jim Brewster,D,wikipedia categories
jim bridenstine,Jim Bridenstine,R,descriptor+roster
jim buck indiana politician,Jim Buck,R,wikipedia categories
jim carns,Jim Carns,R,wikipedia categories
jim clyburn,Jim Clyburn,D,descriptor+roster
jim cooper,Jim Cooper,D,descriptor+roster
jim davis florida politician,Jim Davis,D,descriptor+roster
jim demint,Jim DeMint,R,descriptor+roster
jim douglas,Jim Douglas,R,wikipedia categories
jim doyle,Jim Doyle,D,wikipedia categories
jim durkin,Jim Durkin,R,wikipedia categories
jim geringer,Jim Geringer,R,wikipedia categories
jim guy tucker,Jim Guy Tucker,D,wikipedia categories
jim himes,Jim Himes,D,descriptor+roster
jim holperin,Jim Holperin,D,wikipedia categories
jim hunt,Jim Hunt,D,wikipedia categories
jim inhofe,Jim Inhofe,R,descriptor+roster
jim jordan,Jim Jordan,R,descriptor+roster
jim justice,Jim Justice,R,descriptor+roster
jim langevin,Jim Langevin,D,wikipedia categories
jim leach,Jim Leach,R,descriptor+roster
jim lykam,Jim Lykam,D,wikipedia categories
jim mcgovern american politician,Jim McGovern,D,descriptor+roster
jim mcgreevey,Jim McGreevey,D,wikipedia categories
jim mooney florida politician,Jim Mooney,R,wikipedia categories
jim moran,Jim Moran,D,descriptor+roster
jim oberweis,Jim Oberweis,R,wikipedia categories
jim olsen,Jim Olsen,R,wikipedia categories
jim risch,Jim Risch,R,descriptor+roster
jim rosapepe,Jim Rosapepe,D,wikipedia categories
jim ryun,Jim Ryun,R,descriptor+roster
jim sensenbrenner,Jim Sensenbrenner,R,wikipedia categories
jim steineke,Jim Steineke,R,wikipedia categories
jim struzzi,Jim Struzzi,R,wikipedia categories
jim talent,Jim Talent,R,wikipedia categories
jim tedisco,Jim Tedisco,R,wikipedia categories
jimmy dixon politician,Jimmy Dixon,R,wikipedia categories
jimmy duncan politician,Jimmy Duncan,R,descriptor+roster
jimmy gomez,Jimmy Gomez,D,descriptor+roster
jimmy panetta,Jimmy Panetta,D,descriptor+roster
jimmy patronis,Jimmy Patronis,R,wikipedia categories
joan ballweg,Joan Ballweg,R,wikipedia categories
joan bauer politician,Joan Bauer,D,wikipedia categories
joan lovely,Joan Lovely,D,wikipedia categories
joan millman,Joan Millman,D,wikipedia categories
joan voss,Joan Voss,D,wikipedia categories
joanne twomey,Joanne Twomey,D,wikipedia categories
joaquin arambula,Joaquin Arambula,D,wikipedia categories
joaquin castro,Joaquin Castro,D,descriptor+roster
jocasta zamarripa,JoCasta Zamarripa,D,wikipedia categories
jodey arrington,Jodey Arrington,R,descriptor+roster
jody hice,Jody Hice,R,descriptor+roster
joe baldacci,Joe Baldacci,D,wikipedia categories
joe barton,Joe Barton,R,descriptor+roster
joe bellino politician,Joe Bellino,R,wikipedia categories
joe biden,Joe Biden,D,wikipedia categories
joe bolkcom,Joe Bolkcom,D,wikipedia categories
joe bustos,Joe Bustos,R,wikipedia categories
joe courtney politician,Joe Courtney,D,descriptor+roster
joe faust politician,Joe Faust,R,wikipedia categories
joe frank harris,Joe Frank Harris,D,wikipedia categories
joe kennedy iii,Joe Kennedy III,D,descriptor+roster
joe lombardo,Joe Lombardo,R,wikipedia categories
joe manchin,Joe Manchin,D,descriptor+roster
joe maxwell,Joe Maxwell,D,wikipedia categories
joe miklosi,Joe Miklosi,D,wikipedia categories
joe mitchell politician,Joe Mitchell,R,wikipedia categories
joe neguse,Joe Neguse,D,descriptor+roster
joe parisi,Joe Parisi,D,wikipedia categories
joe pittman politician,Joe Pittman,R,wikipedia categories
joe polisena,Joe Polisena,D,wikipedia categories
joe sanfelippo,Joe Sanfelippo,R,wikipedia categories
joe schmick,Joe Schmick,R,wikipedia categories
joe schwarz,Joe Schwarz,R,descriptor+roster
joe stortini,Joe Stortini,D,wikipedia categories
joe towns,Joe Towns,D,wikipedia categories
joe walsh illinois politician,Joe Walsh,R,descriptor+roster
joe wilson,Joe Wilson,R,descriptor+roster
joe wilson american politician,Joe Wilson,R,descriptor+roster
joe wineke,Joe Wineke,D,wikipedia categories
joel fry politician,Joel Fry,R,wikipedia categories
joel hefley,Joel Hefley,R,descriptor+roster
john albers,John Albers,R,wikipedia categories
john antaramian,John Antaramian,D,wikipedia categories
john ashcroft,John Ashcroft,R,wikipedia categories
john astle,John Astle,D,wikipedia categories
john b larson,John Larson,D,descriptor+roster
john barrasso,John Barrasso,R,descriptor+roster
john barrow american politician,John Barrow,D,descriptor+roster
john becker politician,John Becker,R,wikipedia categories
john bel edwards,John Bel Edwards,D,wikipedia categories
john boccieri,John Boccieri,D,descriptor+roster
john boehner,John Boehner,R,descriptor+roster
john boozman,John Boozman,R,descriptor+roster
john breaux,John Breaux,D,descriptor+roster
john bucy iii,John Bucy III,D,wikipedia categories
john carney delaware politician,John Carney,D,wikipedia categories
john carter texas politician,John Carter,R,descriptor+roster
john cloutier,John Cloutier,D,wikipedia categories
john cornyn,John Cornyn,R,descriptor+roster
john culberson,John Culberson,R,descriptor+roster
john curran illinois politician,John Curran,R,wikipedia categories
john curtis,John Curtis,R,descriptor+roster
john d cherry,John D. Cherry Jr.,D,wikipedia categories
john d johnson politician,John Johnson,R,wikipedia categories
john delaney maryland politician,John Delaney,D,descriptor+roster
john dimaio,John DiMaio,R,wikipedia categories
john duarte politician,John Duarte,R,descriptor+roster
john e sweeney,John E. Sweeney,R,descriptor+roster
john engler,John Engler,R,wikipedia categories
john f campbell politician,John Campbell,D,wikipedia categories
john f keenan state senator,John F. Keenan,D,wikipedia categories
john f tierney,John Tierney,D,descriptor+roster
john fetterman,John Fetterman,D,descriptor+roster
john h robinson politician,John Robinson,D,wikipedia categories
john h rogers,John H. Rogers,D,wikipedia categories
john hickenlooper,John Hickenlooper,D,descriptor+roster
john hoeven,John Hoeven,R,descriptor+roster
john hoffman minnesota politician,John Hoffman,D,wikipedia categories
john horhn,John Horhn,D,wikipedia categories
john i sauls,John I. Sauls,R,wikipedia categories
john jagler,John Jagler,R,wikipedia categories
john james michigan politician,John James,R,descriptor+roster
john joseph cavanaugh iii,John Joseph Cavanaugh III,D,descriptor+roster
john joyce american politician,John Joyce,R,descriptor+roster
john katko,John Katko,R,descriptor+roster
john kennedy louisiana politician,John Kennedy,R,descriptor+roster
john kissel connecticut politician,John Kissel,R,wikipedia categories
john kitzhaber,John Kitzhaber,D,wikipedia categories
john kline politician,John Kline,R,descriptor+roster
john l bohanan jr,John Bohanan,D,wikipedia categories
john laird american politician,John Laird,D,wikipedia categories
john liu,John Liu,D,wikipedia categories
john lynch new hampshire governor,John Lynch,D,wikipedia categories
john mannion american politician,John Mannion,D,descriptor+roster
john mcguire virginia politician,John McGuire,R,descriptor+roster
john medinger,John Medinger,D,wikipedia categories
john moolenaar,John Moolenaar,R,descriptor+roster
john norquist,John Norquist,D,wikipedia categories
john p daley,John Daley,D,wikipedia categories
john patterson ohio state representative,John Patterson,D,wikipedia categories
john perez,John Pérez,D,wikipedia categories
john r bennett,John R. Bennett,R,wikipedia categories
john richard c king,John Richard C. King,D,wikipedia categories
john rose tennessee politician,John Rose,R,descriptor+roster
john rutherford florida politician,John Rutherford,R,descriptor+roster
john salazar,John Salazar,D,descriptor+roster
john sanchez,John Sanchez,R,wikipedia categories
john sarbanes,John Sarbanes,D,descriptor+roster
john shadegg,John Shadegg,R,descriptor+roster
john shimkus,John Shimkus,R,descriptor+roster
john snyder florida politician,John Snyder,R,wikipedia categories
john spiros,John Spiros,R,wikipedia categories
john steinbrink,John Steinbrink,D,wikipedia categories
john stevens tennessee politician,John Stevens,R,wikipedia categories
john tanner tennessee politician,John Tanner,D,descriptor+roster
john thune,John Thune,R,descriptor+roster
john w carlin,John W. Carlin,D,wikipedia categories
john wiley bryant,John Bryant,D,wikipedia categories
john wills politician,John Wills,R,wikipedia categories
john yarmuth,John Yarmuth,D,descriptor+roster
johnny olszewski,Johnny Olszewski,D,descriptor+roster
jolene ivey,Jolene Ivey,D,wikipedia categories
jon bramnick,Jon Bramnick,R,wikipedia categories
jon bruning,Jon Bruning,R,wikipedia categories
jon bumstead,Jon Bumstead,R,wikipedia categories
jon corzine,Jon Corzine,D,wikipedia categories
jon g burns,Jon G. Burns,R,wikipedia categories
jon hawkins utah politician,Jon Hawkins,R,wikipedia categories
jon huntsman jr,Jon Huntsman Jr.,R,wikipedia categories
jon husted,Jon Husted,R,wikipedia categories
jon l mills,Jon Mills,D,wikipedia categories
jon morgan new hampshire politician,Jon Morgan,D,wikipedia categories
jon ossoff,Jon Ossoff,D,descriptor+roster
jon s cardin,Jon Cardin,D,wikipedia categories
jon tester,Jon Tester,D,descriptor+roster
jonathan jackson illinois politician,Jonathan Jackson,D,descriptor+roster
joni ernst,Joni Ernst,R,descriptor+roster
jordan cunningham,Jordan Cunningham,R,wikipedia categories
jordan pace,Jordan Pace,R,wikipedia categories
jordan teuscher,Jordan Teuscher,R,wikipedia categories
jose m serrano,José M. Serrano,D,wikipedia categories
jose r rodriguez,José R. Rodríguez,D,wikipedia categories
joseph c boteler iii,Joseph C. Boteler III,R,wikipedia categories
joseph gibbons florida politician,Joseph Gibbons,D,wikipedia categories
joseph giglio,Joseph Giglio,R,wikipedia categories
joseph griffo,Joseph Griffo,R,wikipedia categories
joseph gullett,Joseph Gullett,R,wikipedia categories
joseph kenney,Joseph Kenney,R,wikipedia categories
joseph morelle,Joseph Morelle,D,descriptor+roster
joseph p riley jr,Joseph P. Riley Jr.,D,wikipedia categories
joseph pennacchio,Joseph Pennacchio,R,wikipedia categories
josh brecheen,Josh Brecheen,R,descriptor+roster
josh gottheimer,Josh Gottheimer,D,descriptor+roster
josh green politician,Josh Green,D,wikipedia categories
josh hawley,Josh Hawley,R,descriptor+roster
josh kimbrell,Josh Kimbrell,R,wikipedia categories
josh mandel,Josh Mandel,R,wikipedia categories
josh riley,Josh Riley,D,descriptor+roster
josh shapiro,Josh Shapiro,D,wikipedia categories
josh stein,Josh Stein,D,wikipedia categories
josie tomkow,Josie Tomkow,R,wikipedia categories
joyce beatty,Joyce Beatty,D,descriptor+roster
juan carlos planas,Juan-Carlos Planas,R,wikipedia categories
juan carlos porras,Juan Carlos Porras,R,wikipedia categories
juan ciscomani,Juan Ciscomani,R,descriptor+roster
juan vargas,Juan Vargas,D,descriptor+roster
judd gregg,Judd Gregg,R,descriptor+roster
judd strom,Judd Strom,R,wikipedia categories
judson sapp,Judson Sapp,R,wikipedia categories
judy chu,Judy Chu,D,descriptor+roster
judy schwank,Judy Schwank,D,wikipedia categories
julia brownley,Julia Brownley,D,descriptor+roster
julia c howard,Julia C. Howard,R,wikipedia categories
julia letlow,Julia Letlow,R,descriptor+roster
julian cyr,Julian Cyr,D,wikipedia categories
julie casimiro,Julie Casimiro,D,wikipedia categories
julie daniels,Julie Daniels,R,wikipedia categories
julie hamos,Julie Hamos,D,wikipedia categories
julie johnson politician,Julie Johnson,D,descriptor+roster
julie morrison,Julie Morrison,D,wikipedia categories
julio concepcion,Julio Concepcion,D,wikipedia categories
justin amash,Justin Amash,R,descriptor+roster
justin humphrey,Justin Humphrey,R,wikipedia categories
k l brown,K.L. Brown,R,wikipedia categories
kai kahele,Kai Kahele,D,descriptor+roster
kamala harris,Kamala Harris,D,wikipedia categories
kambrell garvin,Kambrell Garvin,D,wikipedia categories
kaohly her,Kaohly Her,D,wikipedia categories
karan english,Karan English,D,descriptor+roster
karen bass,Karen Bass,D,wikipedia categories
karen boback,Karen Boback,R,wikipedia categories
karen gonzalez pittman,Karen Gonzalez Pittman,R,wikipedia categories
karen hasara,Karen Hasara,R,wikipedia categories
karen keiser,Karen Keiser,D,wikipedia categories
karen mathiak,Karen Mathiak,R,wikipedia categories
karen may,Karen May,D,wikipedia categories
karen spilka,Karen Spilka,D,wikipedia categories
karen thurman,Karen Thurman,D,descriptor+roster
karl a brabenec,Karl A. Brabenec,R,wikipedia categories
karyn polito,Karyn Polito,R,wikipedia categories
kat cammack,Kat Cammack,R,descriptor+roster
kate brown,Kate Brown,D,wikipedia categories
kate hogan,Kate Hogan,D,wikipedia categories
katherine clark,Katherine Clark,D,descriptor+roster
kathleen dumais,Kathleen Dumais,D,wikipedia categories
kathleen matthews,Kathleen Matthews,D,wikipedia categories
kathleen rice,Kathleen Rice,D,descriptor+roster
kathleen riebe,Kathleen Riebe,D,wikipedia categories
kathleen sebelius,Kathleen Sebelius,D,wikipedia categories
kathleen willis,Kathleen Willis,D,wikipedia categories
kathy bernier,Kathy Bernier,R,wikipedia categories
kathy castor,Kathy Castor,D,descriptor+roster
kathy dahlkemper,Kathy Dahlkemper,D,wikipedia categories
kathy manning,Kathy Manning,D,descriptor+roster
katie britt,Katie Britt,R,descriptor+roster
katie edwards walpole,Katie Edwards-Walpole,D,wikipedia categories
katie hobbs,Katie Hobbs,D,wikipedia categories
katie porter,Katie Porter,D,descriptor+roster
katrina pierson,Katrina Pierson,R,wikipedia categories
kay bailey hutchison,Kay Bailey Hutchison,R,wikipedia categories
kay christofferson,Kay Christofferson,R,wikipedia categories
kay granger,Kay Granger,R,descriptor+roster
kay ivey,Kay Ivey,R,wikipedia categories
kay khan,Kay Khan,D,wikipedia categories
kay kirkpatrick,Kay Kirkpatrick,R,wikipedia categories
kay orr,Kay Orr,R,wikipedia categories
keith ammon,Keith Ammon,R,wikipedia categories
keith ellison,Keith Ellison,D,wikipedia categories
keith faber,Keith Faber,R,wikipedia categories
keith ingram,Keith Ingram,D,wikipedia categories
keith l t wright,Keith Wright,D,wikipedia categories
keith rothfus,Keith Rothfus,R,descriptor+roster
keith self,Keith Self,R,descriptor+roster
kelly armstrong,Kelly Armstrong,R,wikipedia categories
kelly morrison,Kelly Morrison,D,descriptor+roster
kelly seyarto,Kelly Seyarto,R,wikipedia categories
ken bragg,Ken Bragg,R,wikipedia categories
ken calvert,Ken Calvert,R,descriptor+roster
ken cuccinelli,Ken Cuccinelli,R,wikipedia categories
ken gordon massachusetts politician,Ken Gordon,D,wikipedia categories
ken haar,Ken Haar,D,wikipedia categories
ken johnson alabama politician,Ken Johnson,R,wikipedia categories
ken plum,Ken Plum,D,wikipedia categories
ken salazar,Ken Salazar,D,wikipedia categories
ken skowronski,Ken Skowronski,R,wikipedia categories
ken ulman,Ken Ulman,D,wikipedia categories
ken yager,Ken Yager,R,wikipedia categories
kendrick meek,Kendrick Meek,D,descriptor+roster
kenneth ulman,Kenneth Ulman,D,wikipedia categories
kenny marchant,Kenny Marchant,R,descriptor+roster
kent smith american politician,Kent Smith,D,wikipedia categories
kenton patzkowsky,Kenton Patzkowsky,R,wikipedia categories
kenyatta johnson,Kenyatta Johnson,D,wikipedia categories
kerry healy,Kerry Healy,R,wikipedia categories
kesha ram hinsdale,Kesha Ram Hinsdale,D,wikipedia categories
keven stratton,Keven Stratton,R,wikipedia categories
kevin avard,Kevin Avard,R,wikipedia categories
kevin brady,Kevin Brady,R,descriptor+roster
kevin byrne new york politician,Kevin Byrne,R,wikipedia categories
kevin cameron politician,Kevin Cameron,R,wikipedia categories
kevin cramer,Kevin Cramer,R,descriptor+roster
kevin david petersen,Kevin David Petersen,R,wikipedia categories
kevin hardee,Kevin Hardee,R,wikipedia categories
kevin hern,Kevin Hern,R,descriptor+roster
kevin lundberg,Kevin Lundberg,R,wikipedia categories
kevin mccarthy,Kevin McCarthy,R,descriptor+roster
kevin mccarthy politician,Kevin McCarthy,R,descriptor+roster
kevin mccarty,Kevin McCarty,D,wikipedia categories
kevin mullin,Kevin Mullin,D,descriptor+roster
kevin parker new york politician,Kevin Parker,D,wikipedia categories
kevin rader politician,Kevin Rader,D,wikipedia categories
kevin schmidt politician,Kevin Schmidt,R,wikipedia categories
kevin steele politician,Kevin Steele,R,wikipedia categories
kevin van de wege,Kevin Van De Wege,D,wikipedia categories
kevin witkos,Kevin Witkos,R,wikipedia categories
killian timoney,Killian Timoney,R,wikipedia categories
kim abbott,Kim Abbott,D,wikipedia categories
kim david,Kim David,R,wikipedia categories
kim jackson politician,Kim Jackson,D,wikipedia categories
kim king politician,Kim King,R,wikipedia categories
kim reynolds,Kim Reynolds,R,wikipedia categories
kim schrier,Kim Schrier,D,descriptor+roster
kim thatcher,Kim Thatcher,R,wikipedia categories
kimberly du buclet,Kimberly du Buclet,D,wikipedia categories
kimberly ferguson,Kimberly Ferguson,R,wikipedia categories
kimberly lightford,Kimberly Lightford,D,wikipedia categories
kionne mcghee,Kionne McGhee,D,wikipedia categories
kirill reznik,Kirill Reznik,D,wikipedia categories
kirk schuring,Kirk Schuring,R,wikipedia categories
kirk watson,Kirk Watson,D,wikipedia categories
kirsten gillibrand,Kirsten Gillibrand,D,descriptor+roster
kirsten running marquardt,Kirsten Running-Marquardt,D,wikipedia categories
kit bond,Kit Bond,R,wikipedia categories
kris jordan,Kris Jordan,R,wikipedia categories
kriselda valderrama,Kriselda Valderrama,D,wikipedia categories
kristen mcdonald rivet,Kristen McDonald Rivet,D,descriptor+roster
kristin bahner,Kristin Bahner,D,wikipedia categories
kristina roegner,Kristina Roegner,R,wikipedia categories
kumar p barve,Kumar Barve,D,wikipedia categories
kurt wallace,Kurt Wallace,R,wikipedia categories
kwame raoul,Kwame Raoul,D,wikipedia categories
kwanza hall,Kwanza Hall,D,wikipedia categories
kweisi mfume,Kweisi Mfume,D,descriptor+roster
kyle hilbert,Kyle Hilbert,R,wikipedia categories
kyle mullica,Kyle Mullica,D,wikipedia categories
kyrsten sinema,Kyrsten Sinema,D,descriptor+roster
lacy clay,Lacy Clay,D,descriptor+roster
lake ray,Lake Ray,R,wikipedia categories
lamar alexander,Lamar Alexander,R,descriptor+roster
lamar smith,Lamar Smith,R,descriptor+roster
lamonica mciver,LaMonica McIver,D,descriptor+roster
lance gooden,Lance Gooden,R,descriptor+roster
lane jean,Lane Jean,R,wikipedia categories
larry bomke,Larry Bomke,R,wikipedia categories
larry bucshon,Larry Bucshon,R,descriptor+roster
larry larocco,Larry LaRocco,D,wikipedia categories
lateefah simon,Lateefah Simon,D,descriptor+roster
laura friedman,Laura Friedman,D,descriptor+roster
laura gillen,Laura Gillen,D,descriptor+roster
laura kelly,Laura Kelly,D,wikipedia categories
laurel lee,Laurel Lee,R,descriptor+roster
laurel libby,Laurel Libby,R,wikipedia categories
lauren boebert,Lauren Boebert,R,descriptor+roster
lauren melo,Lauren Melo,R,wikipedia categories
lauren underwood,Lauren Underwood,D,descriptor+roster
laurie davies politician,Laurie Davies,R,wikipedia categories
laurie pohutsky,Laurie Pohutsky,D,wikipedia categories
lavon heidemann,Lavon Heidemann,R,wikipedia categories
lavora barnes,Lavora Barnes,D,wikipedia categories
lawrence j smith,Larry Smith,D,descriptor+roster
leah cushman,Leah Cushman,R,wikipedia categories
leanne krueger,Leanne Krueger,D,wikipedia categories
lee anderson american politician,Lee Anderson,R,wikipedia categories
lee harris politician,Lee Harris,D,wikipedia categories
lee hawkins,Lee Hawkins,R,wikipedia categories
lee hein,Lee Hein,R,wikipedia categories
lee hewitt,Lee Hewitt,R,wikipedia categories
lee terry,Lee Terry,R,descriptor+roster
lee zeldin,Lee Zeldin,R,descriptor+roster
lena taylor,Lena Taylor,D,wikipedia categories
lenny curry,Lenny Curry,R,wikipedia categories
leon howard south carolina politician,Leon Howard,D,wikipedia categories
leon lillie,Leon Lillie,D,wikipedia categories
leonard spencer,Leonard Spencer,D,wikipedia categories
leroy garcia,Leroy Garcia,D,wikipedia categories
leroy j jones jr,LeRoy J. Jones Jr.,D,wikipedia categories
leslie osborn,Leslie Osborn,R,wikipedia categories
leslie waters,Leslie Waters,R,wikipedia categories
lester chang,Lester Chang,R,wikipedia categories
letitia james,Letitia James,WF,wikipedia categories
libertarian party of idaho,Libertarian Party of Idaho,L,wikipedia categories
libertarian party of wisconsin,Libertarian Party,L,wikipedia categories
linda chaney,Linda Chaney,R,wikipedia categories
linda chapa lavia,Linda Chapa LaVia,D,wikipedia categories
linda chesterfield,Linda Chesterfield,D,wikipedia categories
linda dean campbell,Linda Dean Campbell,D,wikipedia categories
linda holmes,Linda Holmes,D,wikipedia categories
linda rosenthal,Linda Rosenthal,D,wikipedia categories
linda ryan politician,Linda Ryan,D,wikipedia categories
linda s carter,Linda S. Carter,D,wikipedia categories
linda sanborn,Linda Sanborn,D,wikipedia categories
linda sanchez,Linda Sánchez,D,descriptor+roster
lindsey graham,Lindsey Graham,R,descriptor+roster
lindsey tippins,Lindsey Tippins,R,wikipedia categories
lisa baker pennsylvania politician,Lisa Baker,R,wikipedia categories
lisa blunt rochester,Lisa Blunt Rochester,D,descriptor+roster
lisa brown washington politician,Lisa Brown,D,wikipedia categories
lisa mcclain,Lisa McClain,R,descriptor+roster
lisa murkowski,Lisa Murkowski,R,descriptor+roster
lisa subeck,Lisa Subeck,D,wikipedia categories
liz cheney,Liz Cheney,R,wikipedia categories
liz krueger,Liz Krueger,D,wikipedia categories
liz malia,Liz Malia,D,wikipedia categories
liz mathis,Liz Mathis,D,wikipedia categories
lizzie fletcher,Lizzie Fletcher,D,descriptor+roster
lloyd doggett,Lloyd Doggett,D,descriptor+roster
lloyd smucker,Lloyd Smucker,R,descriptor+roster
log cabin republicans,Log Cabin Republicans,R,wikipedia categories
lois frankel,Lois Frankel,D,descriptor+roster
lon johnson,Lon Johnson,D,wikipedia categories
loranne ausley,Loranne Ausley,D,wikipedia categories
loretta weinberg,Loretta Weinberg,D,wikipedia categories
lori berman,Lori Berman,D,wikipedia categories
lori trahan,Lori Trahan,D,descriptor+roster
lou barletta,Lou Barletta,R,descriptor+roster
lou correa,Lou Correa,D,descriptor+roster
lou d allesandro,Lou D'Allesandro,D,wikipedia categories
louie gohmert,Louie Gohmert,R,descriptor+roster
louis dipalma,Lou DiPalma,D,wikipedia categories
louis juris,Louis Juris,D,wikipedia categories
louise lucas,L. Louise Lucas,D,wikipedia categories
louisiana democratic party,Louisiana Democratic Party,D,wikipedia categories
louisiana republican party,Louisiana Republican Party,R,wikipedia categories
lucille roybal allard,Lucille Roybal-Allard,D,descriptor+roster
lucius parshall,Lucius Parshall,D,wikipedia categories
lucy mcbath,Lucy McBath,D,descriptor+roster
luis alejo,Luis Alejo,D,wikipedia categories
luis fortuno,Luis Fortuño,R,wikipedia categories
luis garcia politician,Luis Garcia,D,wikipedia categories
luis gutierrez,Luis Gutiérrez,D,wikipedia categories
luis r sepulveda,Luis R. Sepúlveda,D,wikipedia categories
luther olsen,Luther Olsen,R,wikipedia categories
lynn bromley,Lynn Bromley,D,wikipedia categories
mac mccutcheon alabama politician,Mac McCutcheon,R,wikipedia categories
mac thornberry,Mac Thornberry,R,descriptor+roster
mack butler,Mack Butler,R,wikipedia categories
mack mattingly,Mack Mattingly,R,descriptor+roster
madeleine dean,Madeleine Dean,D,descriptor+roster
madeleine kunin,Madeleine Kunin,D,wikipedia categories
madison cawthorn,Madison Cawthorn,R,descriptor+roster
mae beavers,Mae Beavers,R,wikipedia categories
maggie goodlander,Maggie Goodlander,D,descriptor+roster
maggie hassan,Maggie Hassan,D,descriptor+roster
mando martinez,Mando Martinez,D,wikipedia categories
manny diaz florida politician,Manny Diaz,D,wikipedia categories
marc molinaro,Marc Molinaro,R,wikipedia categories
marc pacheco,Marc Pacheco,D,wikipedia categories
marc plamondon,Marc Plamondon,D,wikipedia categories
marc veasey,Marc Veasey,D,descriptor+roster
marcia fudge,Marcia Fudge,D,wikipedia categories
marco rubio,Marco Rubio,R,descriptor+roster
marcos devers,Marcos Devers,D,wikipedia categories
marcus c evans jr,Marcus Evans,D,wikipedia categories
marcy kaptur,Marcy Kaptur,D,descriptor+roster
margaret craven politician,Margaret Craven,D,wikipedia categories
mari manoogian,Mari Manoogian,D,wikipedia categories
maria cantwell,Maria Cantwell,D,descriptor+roster
maria elena durazo,María Elena Durazo,D,wikipedia categories
maria elvira salazar,María Elvira Salazar,R,descriptor+roster
mariannette miller meeks,Mariannette Miller-Meeks,R,descriptor+roster
marie gluesenkamp perez,Marie Gluesenkamp Perez,D,descriptor+roster
marie newman,Marie Newman,D,descriptor+roster
marilyn reid,Marilyn Reid,R,wikipedia categories
marilyn stark,Marilyn Stark,R,wikipedia categories
marilyn strickland,Marilyn Strickland,D,descriptor+roster
mario diaz balart,Mario Díaz-Balart,R,descriptor+roster
maritza davila,Maritza Davila,D,wikipedia categories
marjorie decker,Marjorie Decker,D,wikipedia categories
marjorie taylor greene,Marjorie Taylor Greene,R,descriptor+roster
marjorie turnbull,Marjorie Turnbull,D,wikipedia categories
mark alford,Mark Alford,R,descriptor+roster
mark allen politician,Mark Allen,R,wikipedia categories
mark amodei,Mark Amodei,R,descriptor+roster
mark begich,Mark Begich,D,wikipedia categories
mark born,Mark Born,R,wikipedia categories
mark brewer michigan democrat,Mark Brewer,D,wikipedia categories
mark cusack,Mark Cusack,D,wikipedia categories
mark dayton,Mark Dayton,D,wikipedia categories
mark dion politician,Mark Dion,D,wikipedia categories
mark e green,Mark E. Green,R,descriptor+roster
mark eves,Mark Eves,D,wikipedia categories
mark f miller,Mark F. Miller,D,wikipedia categories
mark green tennessee politician,Mark Green,R,descriptor+roster
mark harris north carolina politician,Mark Harris,R,descriptor+roster
mark herring,Mark Herring,D,wikipedia categories
mark hillman,Mark Hillman,R,wikipedia categories
mark hutchison,Mark Hutchison,R,wikipedia categories
mark keam,Mark Keam,D,wikipedia categories
mark kelly,Mark Kelly,D,descriptor+roster
mark kirk,Mark Kirk,R,descriptor+roster
mark l walker,Mark Walker,D,wikipedia categories
mark lawson politician,Mark Lawson,R,wikipedia categories
mark lepak,Mark Lepak,R,wikipedia categories
mark longietti,Mark Longietti,D,wikipedia categories
mark mallory,Mark Mallory,D,wikipedia categories
mark mcbride,Mark McBride,R,wikipedia categories
mark mckenney,Mark McKenney,D,wikipedia categories
mark meadows michigan politician,Mark Meadows,D,wikipedia categories
mark messmer,Mark Messmer,R,descriptor+roster
mark obenshain,Mark Obenshain,R,wikipedia categories
mark pocan,Mark Pocan,D,descriptor+roster
mark romanchuk,Mark Romanchuk,R,wikipedia categories
mark sanford,Mark Sanford,R,wikipedia categories
mark schauer,Mark Schauer,D,descriptor+roster
mark schoesler,Mark Schoesler,R,wikipedia categories
mark schweiker,Mark Schweiker,R,wikipedia categories
mark smith iowa politician,Mark Smith,D,wikipedia categories
mark strong politician,Mark Strong,R,wikipedia categories
mark takano,Mark Takano,D,descriptor+roster
