race_id,person,bioguide,party,is_incumbent,event_type,event_date,known_by,date_basis,incumbent_on_ballot_after,source_url,notes,_confidence,_left_censored,_right_censored,_resolution_days,_days_present,_gaps,_last_seen,_pages,_section,_race_why,_evidence,_flag,_suggested_action,_needs_human
HOU_MI_10_2026,,,,,retiring,,2025-08-25,wiki_first_seen,,https://en.wikipedia.org/wiki/2026_United_States_House_of_Representatives_election_ratings,,high,,yes,1,150,0,2026-08-23,2026 United States House of Representatives election ratings,Election ratings > Latest published ratings for competitive seats; Party listings > Republican-held seats,district link,# Michigan 10: Open seat,seat_level_confirmation,not an event — the ratings page marking the seat open AFTER the incumbent announced. Useful only as a cross-check on incumbent_on_ballot_after,yes
HOU_NE_02_2026,,,,,retiring,,2025-08-25,wiki_first_seen,,https://en.wikipedia.org/wiki/2026_United_States_House_of_Representatives_election_ratings,,high,,yes,1,150,0,2026-08-23,2026 United States House of Representatives election ratings,Election ratings > Latest published ratings for competitive seats; Party listings > Republican-held seats,district link,# Nebraska 2: Open seat,seat_level_confirmation,not an event — the ratings page marking the seat open AFTER the incumbent announced. Useful only as a cross-check on incumbent_on_ballot_after,yes
HOU_NH_01_2026,,,,,retiring,,2025-08-25,wiki_first_seen,,https://en.wikipedia.org/wiki/2026_United_States_House_of_Representatives_election_ratings,,high,,yes,1,150,0,2026-08-23,2026 United States House of Representatives election ratings,Election ratings > Democratic-held seats; Party listings > Democratic-held seats,district link,# New Hampshire 1: Open seat,seat_level_confirmation,not an event — the ratings page marking the seat open AFTER the incumbent announced. Useful only as a cross-check on incumbent_on_ballot_after,yes
HOU_NY_12_2026,Jerry Nadler,,,,retiring,,2025-09-01,wiki_first_seen,,https://en.wikipedia.org/wiki/2026_United_States_House_of_Representatives_elections,,high,,yes,1,264,0,2026-08-23,2026 United States House of Representatives elections,Retirements > Democratic,ushr template,# NY-12: Jerry Nadler is retiring.,,,
HOU_IA_02_2026,Ashley Hinson,,,,seeking_other_office,,2025-09-02,wiki_first_seen,,https://en.wikipedia.org/wiki/2026_United_States_House_of_Representatives_elections,,high,,yes,1,263,0,2026-08-23,2026 United States House of Representatives elections,Retirements > Republican,ushr template,# IA-2: Ashley Hinson is retiring to run for the U.S. Senate.,has_generic_twin,keep this row; its twin is the drop,
HOU_IA_02_2026,,,,,retiring,,2025-09-07,wiki_first_seen,,https://en.wikipedia.org/wiki/2026_United_States_House_of_Representatives_election_ratings,,high,,yes,5,147,0,2026-08-23,2026 United States House of Representatives election ratings,Election ratings > Latest published ratings for competitive seats; Party listings > Republican-held seats,district link,# Iowa 2: Open seat,seat_level_confirmation,not an event — the ratings page marking the seat open AFTER the incumbent announced. Useful only as a cross-check on incumbent_on_ballot_after,yes
HOU_TX_10_2026,Michael McCaul,,,,retiring,,2025-09-14,wiki_first_seen,,https://en.wikipedia.org/wiki/2026_United_States_House_of_Representatives_election_ratings; https://en.wikipedia.org/wiki/2026_United_States_House_of_Representatives_elections,,high,,yes,1,291,0,2026-08-23,2026 United States House of Representatives election ratings; 2026 United States House of Representatives elections,Election ratings > Latest published ratings for competitive seats; Retirements > Republican,ushr template,# TX-10: Michael McCaul is retiring.,,,
HOU_WI_07_2026,Tom Tiffany,,,,seeking_other_office,,2025-09-23,wiki_first_seen,,https://en.wikipedia.org/wiki/2026_United_States_House_of_Representatives_elections,,high,,yes,1,243,0,2026-08-23,2026 United States House of Representatives elections,Retirements > Republican,ushr template,# WI-7: Tom Tiffany is retiring to run for governor of Wisconsin.,has_generic_twin,keep this row; its twin is the drop,
HOU_AZ_01_2026,David Schweikert,,,,seeking_other_office,,2025-09-30,wiki_first_seen,,https://en.wikipedia.org/wiki/2026_United_States_House_of_Representatives_elections,,high,,yes,1,236,0,2026-08-23,2026 United States House of Representatives elections,Retirements > Republican,ushr template,# AZ-1: David Schweikert is retiring to run for governor of Arizona.,has_generic_twin,keep this row; its twin is the drop,
HOU_TX_38_2026,Wesley Hunt,,,,seeking_other_office,,2025-10-06,wiki_first_seen,,https://en.wikipedia.org/wiki/2026_United_States_House_of_Representatives_elections,,high,,yes,1,230,0,2026-08-23,2026 United States House of Representatives elections,Retirements > Republican,ushr template,# TX-38: Wesley Hunt is retiring to run for the U.S. Senate.,has_generic_twin,keep this row; its twin is the drop,
